prefix,prefix_bits,manufacturer,registry_type,is_ieee_reserved
00017A,24,"Chengdu Maipu Electric Industrial Co., Ltd",MA-L,false
00017B,24,Heidelberger Druckmaschinen AG,MA-L,false
00017C,24,AG-E Gmbh,MA-L,false
00017D,24,Thermoquest,MA-L,false
00017E,24,"ADTEK System Science Co., Ltd",MA-L,false
00017F,24,Experience Music Project,MA-L,false
000180,24,"Aopen, Inc",MA-L,false
000181,24,Nortel Networks,MA-L,false
000182,24,DICA TECHNOLOGIES AG,MA-L,false
000183,24,ANITE TELECOMS,MA-L,false
000184,24,SIEB & MEYER AG,MA-L,false
000185,24,"Hitachi Aloka Medical, Ltd",MA-L,false
000186,24,Uwe Disch,MA-L,false
000187,24,I2SE Gmbh,MA-L,false
000188,24,LXCO Technologies Ag,MA-L,false
000189,24,"Refraction Technology, Inc",MA-L,false
00018A,24,ROI COMPUTER AG,MA-L,false
00018B,24,"Netlinks Co., Ltd",MA-L,false
00018C,24,Mega Vision,MA-L,false
00018D,24,Audesi Technologies,MA-L,false
00018E,24,Logitec Corporation,MA-L,false
00018F,24,"Kenetec, Inc",MA-L,false
000190,24,SMK-M,MA-L,false
000191,24,SYRED Data Systems,MA-L,false
000192,24,Texas Digital Systems,MA-L,false
000193,24,"Hanbyul Telecom Co., Ltd",MA-L,false
000194,24,Capital Equipment Corporation,MA-L,false
000195,24,"Sena Technologies, Inc",MA-L,false
000196,24,"Cisco Systems, Inc",MA-L,false
000197,24,"Cisco Systems, Inc",MA-L,false
000198,24,Darim Vision,MA-L,false
000199,24,Heisei Electronics,MA-L,false
00019A,24,LEUNIG Gmbh,MA-L,false
00019B,24,"Kyoto Microcomputer Co., Ltd",MA-L,false
00019C,24,Lumentum,MA-L,false
00019D,24,"E-control Systems, Inc",MA-L,false
00019E,24,"ESS Technology, Inc",MA-L,false
00019F,24,Readynet,MA-L,false
0001A0,24,Infinilink Corporation,MA-L,false
0001A1,24,"Mag-tek, Inc",MA-L,false
0001A2,24,"Logical Co., Ltd",MA-L,false
0001A3,24,"GENESYS LOGIC, INC.",MA-L,false
0001A4,24,Microlink Corporation,MA-L,false
0001A5,24,"Nextcomm, Inc",MA-L,false
0001A6,24,Scientific-atlanta Arcodan A/S,MA-L,false
0001A7,24,UNEX TECHNOLOGY CORPORATION,MA-L,false
0001A8,24,"Welltech Computer Co., Ltd",MA-L,false
0001A9,24,BMW AG,MA-L,false
0001AA,24,"Airspan Communications, Ltd",MA-L,false
0001AB,24,Main Street Networks,MA-L,false
0001AC,24,"Sitara Networks, Inc",MA-L,false
0001AD,24,"Coach Master International D.b.a. CMI Worldwide, Inc",MA-L,false
0001AE,24,Trex Enterprises,MA-L,false
0001AF,24,Artesyn Embedded Technologies,MA-L,false
0001B0,24,"Fulltek Technology Co., Ltd",MA-L,false
0001B1,24,General Bandwidth,MA-L,false
0001B2,24,"Digital Processing Systems, Inc",MA-L,false
0001B3,24,Precision Electronic Manufacturing,MA-L,false
0001B4,24,"Wayport, Inc",MA-L,false
0001B5,24,"Turin Networks, Inc",MA-L,false
0001B6,24,"SAEJIN T&M Co., Ltd",MA-L,false
0001B7,24,"Centos, Inc",MA-L,false
0001B8,24,"Netsensity, Inc",MA-L,false
0001B9,24,SKF (U.K.) Limited,MA-L,false
0001BA,24,"Ic-net, Inc",MA-L,false
0001BB,24,Frequentis,MA-L,false
0001BC,24,Brains Corporation,MA-L,false
0001BD,24,"Peterson Electro-musical Products, Inc",MA-L,false
0001BE,24,"Gigalink Co., Ltd",MA-L,false
0001BF,24,"Teleforce Co., Ltd",MA-L,false
0001C0,24,"Compulab, Ltd",MA-L,false
0001C1,24,Vitesse Semiconductor Corporation,MA-L,false
0001C2,24,ARK Research Corp,MA-L,false
0001C3,24,"Acromag, Inc",MA-L,false
0001C4,24,"Neowave, Inc",MA-L,false
0001C5,24,Simpler Networks,MA-L,false
0001C6,24,Quarry Technologies,MA-L,false
0001C7,24,"Cisco Systems, Inc",MA-L,false
0001C8,24,CONRAD CORP.,MA-L,false
0001C9,24,"Cisco Systems, Inc",MA-L,false
0001CA,24,"Geocast Network Systems, Inc",MA-L,false
0001CB,24,EVR,MA-L,false
0001CC,24,Brand Maker Enabler Inc,MA-L,false
0001CD,24,Artem,MA-L,false
0001CE,24,"Custom Micro Products, Ltd",MA-L,false
0001CF,24,"Alpha Data Parallel Systems, Ltd",MA-L,false
0001D0,24,"Vitalpoint, Inc",MA-L,false
0001D1,24,"Conet Communications, Inc",MA-L,false
0001D2,24,"Inxtron, Inc",MA-L,false
0001D3,24,"PAXCOMM, Inc",MA-L,false
0001D4,24,"Leisure Time, Inc",MA-L,false
0001D5,24,"HAEDONG INFO & COMM CO., LTD",MA-L,false
0001D6,24,Manroland AG,MA-L,false
0001D7,24,F5 Inc,MA-L,false
0001D8,24,"Teltronics, Inc",MA-L,false
0001D9,24,"Sigma, Inc",MA-L,false
0001DA,24,WINCOMM Corporation,MA-L,false
0001DB,24,Freecom Technologies Gmbh,MA-L,false
0001DC,24,Activetelco,MA-L,false
0001DD,24,Avail Networks,MA-L,false
0001DE,24,"Trango Systems, Inc",MA-L,false
0001DF,24,"ISDN Communications, Ltd",MA-L,false
0001E0,24,"Fast Systems, Inc",MA-L,false
0001E1,24,"Kinpo Electronics, Inc",MA-L,false
0001E2,24,Ando Electric Corporation,MA-L,false
0001E3,24,Siemens AG,MA-L,false
0001E4,24,"Sitera, Inc",MA-L,false
0001E5,24,"Supernet, Inc",MA-L,false
0001E6,24,Hewlett Packard,MA-L,false
0001E7,24,Hewlett Packard,MA-L,false
0001E8,24,"Force10 Networks, Inc",MA-L,false
0001E9,24,Litton Marine Systems B.V.,MA-L,false
0001EA,24,Cirilium Corp,MA-L,false
0001EB,24,C-COM Corporation,MA-L,false
0001EC,24,Ericsson Group,MA-L,false
0001ED,24,SETA Corp,MA-L,false
0001EE,24,"Comtrol Europe, Ltd",MA-L,false
0001EF,24,Camtel Technology Corp,MA-L,false
0001F0,24,"Tridium, Inc",MA-L,false
0001F1,24,"Innovative Concepts, Inc",MA-L,false
0001F2,24,"Mark Of The Unicorn, Inc",MA-L,false
0001F3,24,"QPS, Inc",MA-L,false
0001F4,24,Enterasys,MA-L,false
0001F5,24,ERIM S.A.,MA-L,false
0001F6,24,Association Of Musical Electronics Industry,MA-L,false
0001F7,24,"Image Display Systems, Inc",MA-L,false
0001F8,24,TEXIO TECHNOLOGY CORPORATION,MA-L,false
0001F9,24,Teraglobal Communications Corp,MA-L,false
0001FA,24,HOROSCAS,MA-L,false
0001FB,24,"Dotop Technology, Inc",MA-L,false
0001FC,24,Keyence Corporation,MA-L,false
0001FD,24,"Digital Voice Systems, Inc",MA-L,false
0001FE,24,DIGITAL EQUIPMENT CORPORATION,MA-L,false
0001FF,24,"Data Direct Networks, Inc",MA-L,false
000200,24,"Net & Sys Co., Ltd",MA-L,false
000201,24,IFM Electronic Gmbh,MA-L,false
000202,24,"Amino Communications, Ltd",MA-L,false
000203,24,"Woonsang Telecom, Inc",MA-L,false
000204,24,Bodmann Industries Elektronik Gmbh,MA-L,false
000205,24,"Hitachi Denshi, Ltd",MA-L,false
000206,24,Telital R&D Denmark A/S,MA-L,false
000207,24,Visionglobal Network Corp,MA-L,false
000208,24,"Unify Networks, Inc",MA-L,false
000209,24,"Shenzhen SED Information Technology Co., Ltd",MA-L,false
00020A,24,Gefran Spa,MA-L,false
00020B,24,"Native Networks, Inc",MA-L,false
00020C,24,Metro-optix,MA-L,false
00020D,24,Micronpc.com,MA-L,false
00020E,24,ECI Telecom Ltd,MA-L,false
00020F,24,AATR,MA-L,false
